Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Manzana, con casacara, importada","Apple, unpeeled, imported, raw",57.81,0.26,0.17,13.81,2.4,0.03,0.01,0.05,0.0,6.0,11.0,0.12,107.0,1.0,0.04,5.0,3.0,3.0,0.0,fruta
"Manzana, con cáscara, rosa, pomarosa","Apple, unpeeled, rose, raw",27.9,0.6,0.3,5.7,,,,,0.0,29.0,8.0,0.07,123.0,0.0,0.06,22.0,17.0,,0.0,fruta
"Manzana, deshidratada","Apple, dehydrated, average",384.62,1.32,0.58,93.53,12.4,0.09,0.02,0.17,0.0,19.0,55.0,2.0,640.0,124.0,0.29,2.0,4.0,1.0,0.0,fruta
"Manzana, sin cáscara, criolla, “Emilia”","Apple, unpeeled, local, “Emilia”",60.5,0.3,0.1,14.6,1.3,0.02,0.0,0.04,0.0,4.0,8.0,0.7,90.0,0.0,0.05,8.0,2.0,0.0,0.0,fruta
"Maracuyá, granadilla morada, pulpa","Passion fruit, pulp",108.62,2.2,0.7,23.38,10.4,0.06,0.09,0.41,0.0,12.0,68.0,1.6,348.0,28.0,0.1,30.0,64.0,14.0,0.0,fruta
"Melón, amarillo, valenciano","Melon, yellows, honeydew, fresh",39.78,0.54,0.14,9.09,0.8,0.04,0.0,0.06,0.0,6.0,11.0,0.17,228.0,18.0,0.09,18.0,3.0,19.0,0.0,fruta
"Melón, corrugado, contaloupe","Melons, cantaloupe, raw",37.71,0.84,0.19,8.16,0.9,0.05,0.0,0.08,0.0,9.0,15.0,0.21,267.0,16.0,0.18,37.0,169.0,21.0,0.0,fruta
"Membrillo, fresco","Quinces, fresh, raw",63.7,0.4,0.1,15.3,1.9,0.01,0.04,0.05,0.0,11.0,17.0,0.7,197.0,4.0,0.04,15.0,2.0,3.0,0.0,fruta
"Mix de frutas, cerezas y arándanos, deshidratadas, Kruker","Fruit mix, cherries and cranberries, dehydrated, Kruker",477.0,2.0,21.0,70.0,,9.0,9.0,2.5,0.0,,,,,5.0,,,,,,fruta
"Mix de frutas, piña y maracuya, deshidratadas, Kruker","Fruit mix, pineapple and passion fruit, dehydrated, Kruker",477.0,2.0,21.0,70.0,,9.0,9.0,2.5,0.0,,,,,5.0,,,,,,fruta
"Mix frutas, arándanos rojos, maní y pasas, deshidratadas, Corfruit","Fruit mix, cranberries, peanuts and raisins, dehydrated, Corfruit",430.0,10.0,16.67,60.0,3.33,3.33,10.0,0.0,0.0,,,,,50.0,,,,,,fruta
"Mora, zarzamora, fresca","Blackberries, fresh, raw",48.41,1.39,0.49,9.61,5.3,0.01,0.05,0.28,0.0,29.0,22.0,0.62,162.0,1.0,0.53,21.0,11.0,25.0,0.0,fruta
"Mortiño, fresco, crudo","Blueberry, fresh, raw",63.49,0.64,0.33,14.49,2.4,0.03,0.05,0.15,0.0,6.0,12.0,0.28,77.0,1.0,0.16,9.7,3.0,6.0,0.0,fruta
"Naranja, agria, común","Orange, sour, ordinary, raw",55.7,0.7,0.1,13.0,,,,,0.0,43.0,17.0,0.6,200.0,1.0,0.05,42.0,10.0,,,fruta
"Naranja, agria, zumo, jugo natural","Orange, sweet, juice, ordinary, raw",44.6,0.7,0.2,10.0,,,,,,44.0,15.0,0.3,,,,42.0,,,,fruta
"Naranja, dulce, común","Orange, sweet, ordinary, raw",51.84,0.94,0.12,11.75,2.4,0.01,0.02,0.03,0.0,40.0,14.0,0.1,181.0,0.0,0.07,53.0,11.0,30.0,0.0,fruta
"Naranjilla común, pelada, cruda","Naranjilla / lulo, peeled, raw",35.48,,,8.87,,,,,,2.0,23.0,0.24,448.0,14.0,0.22,,,,,fruta
"Naranjilla, lulo, pulpa, congelada","Naranjilla, lulo, pulp, frozen, unsweetened",30.9,0.7,0.1,6.8,,,,,,8.0,14.0,0.4,294.0,4.0,,65.0,,,,fruta
"Níspero, con cáscara, fresco","Loquats, unpeeled, fresh, raw",52.08,0.43,0.2,12.14,1.7,0.04,0.01,0.09,0.0,16.0,27.0,0.28,266.0,1.0,0.05,1.0,76.0,14.0,0.0,fruta
"Papaya, lechosa, madura, pulpa","Papayas, ripe, pulpe, raw",42.94,0.61,0.14,9.81,1.8,0.04,0.04,0.03,0.0,24.0,5.0,0.1,257.0,3.0,0.07,62.0,55.0,38.0,0.0,fruta
"Pasas rubias, promedio","Raisins, golden, seedless, average",335.0,3.28,0.2,80.02,3.3,0.07,0.01,0.06,0.0,64.0,101.0,0.98,746.0,24.0,0.37,3.2,0.0,3.0,0.0,fruta
"Pasas, sin semilla, Del Sur","Raisins, seedless, Del Sur",260.0,2.5,0.0,62.5,0.0,,,,,,,,,,,,,,,fruta
"Pasas, sin semilla, promedio","Raisins, seedless, average",320.0,2.5,0.0,77.5,5.0,0.0,,,0.0,50.0,,2.7,775.0,25.0,,0.0,0.0,,,fruta
"Pepino dulce, pera limón, con cáscara","Tree melon, unpeeled, fresh",35.8,0.4,1.0,6.3,,,,,,18.0,14.0,0.8,,,,32.0,28.0,,,fruta
"Pera, importada, sin cáscara","Pear, imported, peeled, raw",64.44,0.38,0.12,15.46,3.1,0.01,0.03,0.03,0.0,9.0,11.0,0.17,119.0,1.0,0.1,4.0,1.0,7.0,0.0,fruta
"Piña, deshidratada","Pineapple, dehydrated",370.0,0.0,0.0,92.5,2.5,0.09,0.02,0.17,0.0,50.0,55.0,2.0,640.0,124.0,0.29,2.0,4.0,1.0,0.0,fruta
"Piña, dulce, fresca","Pineapple, sweets, fresh, raw",57.11,0.53,0.11,13.5,1.4,,,,,13.0,8.0,0.28,108.0,1.0,0.12,56.0,3.0,19.0,,fruta
"Piña, en rodajas, en almibar, Facundo","Pineaple, sliced, in syrup, Facundo",66.68,0.0,0.0,16.67,1.67,0.0,,,,,,,,0.0,,,,,,fruta
"Piña, fruta en almibar, envasada sol&liq","Pineaple, sliced, in syrup, solid and liquid, average",83.19,0.35,0.11,20.2,0.8,0.01,0.01,0.04,0.0,14.0,7.0,0.38,104.0,1.0,0.12,7.0,1.0,5.0,0.0,fruta
"Pitahaya, amarilla, pulpa","Pitahaya, yellow, pulp",56.9,0.4,0.1,13.6,3.3,,,,,26.0,26.0,0.3,155.0,4.0,0.1,20.0,2.0,20.0,0.0,fruta
"Pitahaya, roja, pulpa","Pitahaya, red, pulp",62.0,1.4,0.4,13.2,,,,,,10.0,26.0,1.3,,,,8.0,0.0,,,fruta
"Plátano rojo, guineo morado","Platain, red o purple",118.2,1.4,0.2,27.7,,,,,,12.0,20.0,0.5,370.0,1.0,0.16,10.0,42.0,,0.0,fruta
"Sandía, fresca","Watermelon, fresh, raw",33.99,0.61,0.15,7.55,0.4,0.02,0.04,0.05,0.0,7.0,11.0,0.24,112.0,1.0,0.1,8.0,28.0,3.0,0.0,fruta
"Tamarindo, pasta, sin azúcar añadida, Soleg","Tamarind, pulp paste, not added sugar, Soleg",106.67,0.0,0.0,26.67,,0.0,,,0.0,,,,,0.0,,,,,,fruta
"Tamarindo, pulpa, fresca","Tamarind, pulp, fresh, raw",266.6,2.8,0.6,62.5,5.1,0.27,0.18,0.06,0.0,74.0,113.0,2.8,628.0,28.0,0.1,3.5,2.0,14.0,0.0,fruta
"Taxo, curuba, pulpa",Curuba pulp,24.72,3.09,0.0,3.09,0.0,0.0,,,0.0,381.0,,0.56,,1.0,,39.6,417.6,,,fruta
"Tomate de árbol, fresco",Tree tomato fruit,58.1,2.2,0.9,10.3,,,,,,9.0,48.0,0.8,,,,29.0,300.0,,,fruta
"Tomate de árbol, pulpa líquida, con azucar, Esto si es tomate","Tree tomato, liquid pulp, with sugar, Esto si es Tomate",33.33,1.67,0.0,6.67,0.0,,,,,,,,,58.33,,,,,,fruta
"Toronja, rosada, fresca","Grapefruit, ordinary, raw",46.98,0.77,0.14,10.66,1.6,0.02,0.02,0.04,0.0,22.0,18.0,0.08,135.0,0.0,0.07,31.0,58.0,13.0,0.0,fruta
"Tuna, nopal","Prickly pears,raw",74.4,1.1,0.4,16.6,3.6,0.07,0.08,0.21,0.0,57.0,32.0,1.2,220.0,5.0,0.12,18.0,2.0,6.0,0.0,fruta
"Uva, importada, con cáscara, roja, tipo americana","Grapes, imported, unpeeled, raw, red",74.27,0.63,0.35,17.15,0.9,0.11,5.01,0.1,0.0,14.0,10.0,0.29,191.0,2.0,0.04,4.0,5.0,4.0,0.0,fruta
"Uva, importada, con cáscara, verde","Grapes, imported, unpeeled, green",73.3,0.4,0.1,17.7,0.9,,,,,19.0,28.0,0.5,,,0.07,2.8,3.0,,,fruta
"Uvilla, confitada, orgánica, Natures Heart","Golden-berries, candied, organic, Narures Heart",331.43,2.86,0.0,80.0,8.57,0.0,,,0.0,,,,,0.0,,,,,,fruta
"Uvilla, deshidratada, Inca´s Treasure","Golden-berries, dehydrated, Inca´s Treasure",271.43,7.14,0.0,60.71,21.43,0.0,,,0.0,,,,1778.57,0.0,,,,,,fruta
"Uvilla, deshidratada, promedio","Golden-berries, dehydrated, average",271.4,7.14,0.0,60.71,21.43,,,,,,,,1778.57,0.0,,,,,,fruta
"Uvilla, fresca","Golden berries, fresh",308.39,6.67,1.67,66.67,16.7,0.0,,,0.0,30.0,,3.33,1830.0,0.0,,,,,,fruta
"Zapote, mamey, sin cáscara, fresco","Sapote, mamey, peeled, fresh, raw",138.34,1.45,0.46,32.1,5.4,0.17,0.1,0.1,0.0,18.0,26.0,0.78,454.0,7.0,0.19,23.0,7.0,7.0,0.0,fruta
"Acelga, cocida, sin sal","Chard, cooked, without salt",24.76,1.88,0.08,4.13,2.1,0.01,0.02,0.03,0.0,58.0,33.0,2.26,549.0,179.0,0.33,18.0,306.0,9.0,0.0,verdura
"Acelga, cruda","Chard, raw",33.5,2.9,0.3,4.8,,,,,0.0,62.0,,3.9,550.0,147.0,0.02,6.0,330.0,,0.0,verdura
"Achogcha, hojas y corazon, escurridas, cocida, sin sal","Balsam-pear, bitter gourd, leaves and heart, boiled, drained, coocked, without salt",22.26,0.84,0.18,4.32,2.0,0.01,0.03,0.08,0.0,9.0,36.0,38.0,319.0,6.0,0.77,33.0,6.0,51.0,0.0,verdura
"Achojcha, lisa, hervidas, escurrido, sin sal","Achojcha (smooth), boiled, drained, without salt",17.2,,,4.3,,,,,,17.0,17.0,0.18,170.0,3.0,0.08,,,,,verdura
Ají amarillo fresco,"Peppers, hot chili, yellow, raw",45.1,0.9,0.7,8.8,,,,,,31.0,21.0,0.9,,,,60.0,445.0,,,verdura
"Ají, rojo, rocoto, crudo","Peppers, hot chili, red, raw",46.68,1.87,0.44,8.81,1.5,0.04,0.02,0.24,0.0,14.0,43.0,1.03,322.0,9.0,0.26,143.7,48.0,23.0,0.0,verdura
"Ajo, fresco, crudo","Garlic, fresh, raw",162.18,6.36,0.5,33.06,2.1,0.09,0.01,0.25,0.0,181.0,153.0,1.7,401.0,17.0,1.16,31.2,0.0,3.0,0.0,verdura
"Albahaca, fresca, cruda","Basil, fresh, raw",28.96,3.15,0.64,2.65,1.6,0.04,0.09,0.39,0.0,177.0,56.0,3.17,295.0,4.0,0.81,18.0,264.0,68.0,0.0,verdura
"Alcachofa, hojas y corazón, cocida, sin sal","Artichokes, leaves and heart, cooked, drained, without salt",62.42,2.89,0.34,11.95,5.7,0.08,0.01,0.15,0.0,21.0,73.0,0.61,286.0,60.0,0.4,7.4,1.0,89.0,0.0,verdura
"Alcachofa, hojas y corazon, cruda","Artichokes, leaves and heart, raw",56.47,3.27,0.15,10.51,5.4,0.04,0.0,0.06,0.0,44.0,90.0,1.28,370.0,94.0,0.49,12.0,9.0,68.0,0.0,verdura
"Alfalfa, brotes de alfalfa","Alfalfa, sprouts",37.29,3.99,0.69,3.78,2.5,0.07,0.06,0.41,0.0,32.0,70.0,0.96,79.0,6.0,0.92,8.0,8.0,36.0,0.0,verdura
"Apio, tallos, crudo","Celery, westchester hisano, raw",16.17,0.69,0.17,2.97,1.6,0.04,0.03,0.08,0.0,40.0,24.0,0.2,260.0,80.0,0.13,3.0,22.0,36.0,0.0,verdura
"Arveja, congelada, cocida, sin sal","Peas, froozen, cooked, without salt",80.07,5.15,0.27,14.26,4.5,0.05,0.02,0.13,0.0,24.0,77.0,1.52,110.0,72.0,0.67,9.9,105.0,59.0,0.0,verdura
"Arveja, enlatada","Peas, green, solids and liquids, canned",71.15,4.42,0.35,12.58,4.1,0.06,0.03,0.16,0.0,20.0,67.0,0.95,173.0,252.0,0.71,10.0,27.0,44.0,0.0,verdura
"Arveja, escurrida, cocida, sin sal","Peas, green, drained, cooked, without salt",85.98,5.36,0.22,15.64,5.5,0.04,0.02,0.1,0.0,27.0,117.0,1.54,271.0,3.0,1.19,14.0,40.0,63.0,0.0,verdura
"Arveja, grano tierno, cruda","Peas, green,raw",83.12,5.42,0.4,14.46,5.1,0.07,0.04,0.19,0.0,25.0,108.0,1.47,244.0,5.0,1.24,40.0,38.0,65.0,0.0,verdura
"Berenjena, cocida, sin sal","Eggplant, cooked, drained, without salt",40.31,0.83,0.23,8.73,2.5,0.04,0.02,0.09,0.0,6.0,15.0,0.25,123.0,1.0,0.12,1.0,2.0,14.0,0.0,verdura
"Berenjena, cruda","Eggplant, raw",28.55,1.01,0.19,5.7,3.4,0.03,0.02,0.08,0.0,9.0,25.0,0.24,230.0,2.0,0.16,2.0,1.0,22.0,0.0,verdura
"Berro, fresco, crudo","Watercress, fresh, raw",28.0,2.8,0.4,3.3,1.51,0.02,0.24,0.23,0.0,117.0,76.0,1.9,606.0,14.0,0.23,44.0,161.0,80.0,0.0,verdura
"Brócoli, cocido, sin sal","Broccoli, cooked, drained, witout salt",41.93,2.38,0.41,7.18,3.3,0.08,0.04,0.17,0.0,40.0,67.0,0.67,293.0,41.0,0.45,65.0,77.0,108.0,0.0,verdura
"Brócoli, crudo","Broccoli, raw",41.17,2.82,0.37,6.64,2.6,0.04,0.01,0.04,0.0,47.0,66.0,0.73,316.0,33.0,0.41,89.0,31.0,63.0,0.0,verdura
"Cebolla, blanca, larga, cruda","Onions, spring, scallions,raw",38.39,1.83,0.19,7.34,2.6,0.03,0.03,0.07,0.0,72.0,37.0,1.48,276.0,16.0,0.39,18.8,50.0,64.0,0.0,verdura
"Cebolla, blanca, perla","Onions, white, raw",42.66,1.1,0.1,9.34,1.7,0.04,0.01,0.02,0.0,23.0,29.0,0.21,146.0,4.0,0.17,7.4,0.0,19.0,0.0,verdura
"Cebolla, puerro","Leeks, raw",65.3,1.5,0.3,14.15,1.8,0.04,0.0,0.17,0.0,59.0,35.0,2.1,180.0,20.0,0.12,12.0,83.0,64.0,0.0,verdura
"Cebolla, roja, paiteña, cruda","Onion, red, raw",27.7,0.8,0.1,5.9,1.4,,,,,20.0,17.0,1.0,,,0.16,3.7,0.0,,,verdura
"Cebollin, fresco, crudo","Chives, fresh, raw",37.05,3.27,0.73,4.35,2.5,0.15,0.1,0.27,0.0,92.0,58.0,1.6,296.0,3.0,0.56,58.1,218.0,105.0,0.0,verdura
"Champiñones, enlatados, escurridos","Mushrooms, canned, drained",30.45,1.87,0.29,5.09,2.4,0.04,0.01,0.11,0.0,11.0,66.0,0.79,129.0,425.0,0.72,0.0,0.0,12.0,0.0,verdura
"Champiñones, portobello, crudos","Mushrooms, portabella, raw",27.07,2.11,0.35,3.87,1.3,0.01,0.04,0.3,0.0,3.0,108.0,0.31,364.0,9.0,0.53,0.0,0.0,28.0,0.05,verdura
"Choclo, maíz, amarillo, dulce, enlatado","Corn, yellow, sweet, canned",73.94,1.95,0.5,15.41,1.7,0.08,0.14,0.23,0.0,4.0,51.0,0.41,164.0,213.0,0.36,6.0,3.0,38.0,0.0,verdura
"Choclo,elote, mazorca, amarillo, cocido","Corn, yellow, sweet, cooked",125.24,3.32,1.28,25.11,2.8,0.2,0.37,0.6,0.0,2.0,103.0,0.61,249.0,17.0,0.48,6.0,13.0,46.0,0.0,verdura
"Choclo,elote, mazorca, amarillo, fresco, crudo","Corn, yellow, sweet, fresh, raw",99.58,3.22,1.18,19.02,2.7,0.18,0.35,0.56,0.0,2.0,89.0,0.52,270.0,15.0,0.45,7.0,10.0,46.0,0.0,verdura
"Choclo,elote, mazorca, blanco, fresco, crudo","Corn, white, fresh, raw",113.9,3.1,0.7,23.8,,0.18,0.34,0.54,0.0,24.0,270.0,0.5,270.0,15.0,0.45,8.0,0.0,,0.0,verdura
"Col, de bruselas, cocida, sin sal","Brussels sprouts, cooked, without salt",43.1,2.55,0.5,7.1,2.6,0.1,0.04,0.26,0.0,36.0,56.0,1.2,317.0,21.0,0.33,62.0,39.0,60.0,0.0,verdura
"Col, de bruselas, cruda","Brussels sprouts, raw",52.02,3.38,0.3,8.95,3.8,0.06,0.02,0.15,0.0,42.0,69.0,1.4,389.0,25.0,0.42,85.0,38.0,61.0,0.0,verdura
"Col, morada, cocida, sin sal","Cabbage, red, cooked, without salt",34.61,1.51,0.09,6.94,2.6,0.01,0.01,0.04,0.0,42.0,33.0,0.66,262.0,28.0,0.25,34.4,2.0,24.0,0.0,verdura
"Col, morada, cruda","Cabbage, red, raw",36.64,1.43,0.16,7.37,2.1,0.02,0.01,0.08,0.0,45.0,30.0,0.8,243.0,27.0,0.22,57.0,56.0,18.0,0.0,verdura
"Col, repollo, blanco, común, cocida, sin sal","Cabbage, white, ordinary, cooked, without salt",25.79,1.02,0.43,4.46,1.9,0.05,0.03,0.2,0.0,31.0,15.0,0.17,97.0,8.0,0.09,20.0,7.0,20.0,0.0,verdura
"Col, repollo, blanco, común, cruda","Cabbage, white, ordinary, raw",27.94,1.21,0.18,5.37,2.3,0.02,0.01,0.09,0.0,47.0,23.0,0.56,246.0,18.0,0.18,51.0,6.0,57.0,0.0,verdura
"Coliflor, cruda","Cauliflower, raw",30.02,1.98,0.1,5.3,2.5,0.03,0.01,0.1,0.0,22.0,44.0,0.44,303.0,30.0,0.28,46.0,1.0,57.0,0.0,verdura
"Coliflor, escurrida, cocida, sin sal","Cauliflower, drained, cooked, without salt",27.85,1.84,0.45,4.11,2.7,0.07,0.03,0.22,0.0,16.0,32.0,0.33,142.0,15.0,0.18,44.0,1.0,44.0,0.0,verdura
"Culantro, cilantro, fresco, crudo","Coriander, cilantro, fresh, raw",12.4,2.02,0.48,,2.81,,,,0.0,67.0,54.0,1.68,510.0,54.0,0.05,35.3,6130.0,,0.0,verdura
"Espárrago, crudo","Asparagus, raw",25.4,2.2,0.12,3.88,2.1,0.05,0.01,0.09,0.0,24.0,52.0,2.14,202.0,2.0,0.54,6.0,38.0,52.0,0.0,verdura
"Espárragos, enlatados","Asparagus, canned",18.74,1.8,0.18,2.48,1.0,0.04,0.01,0.09,0.0,15.0,38.0,0.6,172.0,284.0,0.47,16.5,157.8,85.0,0.0,verdura
"Espárragos, escurridos, cocidos","Asparagus, drained, cooked",28.02,2.4,0.22,4.11,2.0,0.05,0.0,0.11,0.0,23.0,54.0,0.91,224.0,14.0,0.6,7.7,50.0,149.0,0.0,verdura
"Espinaca, cruda","Spinach, raw",29.47,2.86,0.39,3.63,2.2,0.06,0.01,0.17,0.0,99.0,49.0,2.71,558.0,79.0,0.53,28.0,469.0,194.0,0.0,verdura
"Espinaca, escurrida, cocida, sin sal","Spinach, drained, cooked, without salt",29.22,2.97,0.26,3.75,2.4,0.04,0.01,0.11,0.0,136.0,56.0,3.57,466.0,70.0,0.76,10.0,524.0,146.0,0.0,verdura
"Fréjol, canario, tierno, fresco","Bean, canary bean, immature, raw",162.6,9.7,0.6,29.6,14.0,,,,,60.0,287.0,2.18,,3.0,,5.22,0.0,,,verdura
"Fréjol, frijol, grano verde, tierno, toda variedad","Bean, immature grain, all varieties",153.1,9.8,0.3,27.8,,,,,,59.0,213.0,3.6,,,,7.0,12.0,,,verdura
"Haba, grano verde, tierna","Broadbeans, immature seeds, raw",74.6,5.6,0.6,11.7,4.2,0.14,0.02,0.31,0.0,22.0,95.0,1.9,250.0,50.0,0.58,33.0,18.0,96.0,0.0,verdura
"Hongos, champiñones, cocidos, sin sal","Mushrooms, cooked, drained, without salt",34.07,2.17,0.47,5.29,2.2,0.06,0.01,0.18,0.0,6.0,87.0,1.74,356.0,2.0,0.87,4.0,0.0,18.0,0.0,verdura
"Hongos, champiñones, crudos","Mushrooms, white, raw",28.54,3.09,0.34,3.28,1.0,0.05,0.0,0.16,0.0,3.0,86.0,0.5,318.0,5.0,0.52,2.0,0.0,16.0,0.04,verdura
"Jícama, fresco, cruda","Yambean, jicama, fresh, raw",38.97,0.72,0.09,8.82,4.9,0.02,0.01,0.04,0.0,12.0,18.0,0.6,150.0,4.0,0.16,20.2,1.0,12.0,0.0,verdura
"Lechuga, arrepollada, cruda","Lettuce, green leafs, raw",16.74,0.9,0.14,2.97,1.2,0.02,0.01,0.07,0.0,18.0,20.0,0.41,141.0,10.0,0.15,3.0,25.0,29.0,0.0,verdura
"Lechuga, romana, crespa, fresca, cruda","Lettuce, crip, romaine, fresh, raw",20.74,1.23,0.3,3.28,2.1,0.04,0.01,0.16,0.0,33.0,30.0,0.97,247.0,8.0,0.23,24.0,290.0,136.0,0.0,verdura
"Nabo, raíz, cocido, sin sal, escurrido","Turnips, root, cooked, without salt, drained",23.8,0.71,0.08,5.06,2.0,0.01,0.0,0.04,0.0,33.0,26.0,0.18,177.0,16.0,0.12,12.0,0.0,9.0,0.0,verdura
"Nabo, raíz, crudo","Turnips, root, raw",30.22,0.9,0.1,6.43,1.8,0.01,0.01,0.05,0.0,30.0,27.0,0.3,191.0,67.0,0.27,21.0,0.0,15.0,0.0,verdura
"Orégano, fresco","Oregano, fresh",56.1,1.6,0.5,11.3,,,,,,312.0,46.0,9.3,,,,10.0,1750.0,,,verdura
"Paico, fresco","Paico, fresh",66.7,5.0,1.1,9.2,3.8,,,,,459.0,65.0,6.3,,,1.1,34.7,3.0,,,verdura
"Palmito, crudo","Palm hearts, raw",115.04,2.7,0.2,25.61,1.5,0.05,0.01,0.09,0.0,18.0,140.0,1.69,1806.0,14.0,3.73,8.0,3.0,24.0,0.0,verdura
"Palmito, enlatado","Hearts of palm, canned",34.14,2.52,0.62,4.62,2.4,0.13,0.1,0.2,0.0,7.9,65.0,3.13,177.0,426.0,1.15,7.9,0.0,39.0,0.0,verdura
"Papa, nabo, cocida, sin sal","Turnips, cooked, without salt",23.8,0.71,0.08,5.06,2.0,0.01,0.01,0.04,0.0,33.0,26.0,0.18,177.0,16.0,0.12,11.6,0.0,9.0,0.0,verdura
"Papa, nabo, cruda","Turnips, raw",30.22,0.9,0.1,6.43,1.8,0.01,0.01,0.05,0.0,30.0,27.0,0.3,191.0,67.0,0.27,21.0,0.0,15.0,0.0,verdura
"Pepino, cojombro, de ensalada, crudo","Cucumber, for salad, raw",12.44,0.59,0.16,2.16,0.7,0.01,0.0,0.0,0.0,14.0,21.0,0.22,136.0,2.0,0.17,3.0,4.0,14.0,0.0,verdura
"Perejil, fresco, crudo","Parsley, fresh, raw",44.31,2.97,0.79,6.33,3.3,0.13,0.3,0.12,0.0,138.0,58.0,6.2,554.0,56.0,1.07,133.0,421.0,152.0,0.0,verdura
"Pimiento, rojo, chile dulce, fresco, crudo","Peppers, red, sweet, fresh, raw",30.78,0.99,0.3,6.03,2.0,0.06,0.01,0.16,0.0,7.0,26.0,0.43,211.0,2.0,0.25,190.0,157.0,18.0,0.0,verdura
"Pimiento, verde, fresco, crudo","Peppers, sweet, green, fresh, raw",23.53,0.86,0.17,4.64,1.7,0.06,0.01,0.06,0.0,10.0,20.0,0.34,175.0,3.0,0.13,80.4,18.0,10.0,0.0,verdura
"Rábano, largo, crudo","Radishes, oriental, raw",19.7,0.6,0.1,4.1,1.6,0.03,0.02,0.05,0.0,27.0,23.0,0.4,227.0,21.0,0.15,22.0,0.0,28.0,0.0,verdura
"Rábano, redondo, crudo","Radishes, raw",12.9,1.5,0.1,1.5,,0.03,0.02,0.02,0.0,24.0,,0.4,227.0,21.0,,22.0,0.0,,0.0,verdura
"Remolacha, cruda","Beetroot, raw",46.21,1.61,0.17,9.56,2.8,0.03,0.03,0.06,0.0,16.0,40.0,0.8,325.0,78.0,0.35,5.0,2.0,109.0,0.0,verdura
"Remolacha, escurrida, cocida, sin sal","Beetroot, drained, cooked, without salt",48.18,1.68,0.18,9.96,2.0,0.03,0.04,0.06,0.0,16.0,38.0,0.79,305.0,77.0,0.35,4.0,2.0,80.0,0.0,verdura
"Rúcula, fresca, cruda","Arugula, fresh, raw",30.86,2.58,0.66,3.65,1.6,0.09,0.05,0.32,0.0,160.0,52.0,1.47,369.0,27.0,0.46,15.0,119.0,97.0,0.0,verdura
"Sambo, cocido, sin sal","Gourd, white-flowered, calabash, cooked, without salt",17.34,0.6,0.02,3.69,1.2,0.0,0.0,0.01,0.0,24.0,13.0,0.25,170.0,2.0,0.7,8.5,0.0,4.0,0.0,verdura
"Sambo,chilacayote, chiverre, maduro, crudo","Gourd, white-flowered, calabash, raw",24.5,0.8,0.1,5.1,,,,,,15.0,19.0,0.4,,,,11.0,,,,verdura
"Tomate, rojo, riñon, crudo, promedio","Tomato, red, ripe, raw, average",24.3,0.8,0.3,4.6,1.2,0.05,0.05,0.14,0.0,7.0,24.0,0.6,237.0,5.0,0.17,23.0,42.0,15.0,0.0,verdura
"Tomate, tomatillo, cherry, fresco, crudo","Tomato, cherry, fresh, raw",35.3,1.5,0.1,7.1,,0.01,0.01,0.04,0.0,59.0,,6.0,207.0,8.0,0.11,85.0,500.0,,0.0,verdura
"Vainitas, ejotes, vainicas, escurridas, cocidas, sin sal","Beans, snap, green, drained, cooked, without salt",41.6,1.89,0.28,7.88,3.2,0.06,0.01,0.14,0.0,44.0,29.0,0.65,146.0,1.0,0.25,10.0,35.0,33.0,0.0,verdura
"Vainitas, verdes, cruda","Beans, snap, green, raw",37.18,1.83,0.22,6.97,2.7,0.05,0.01,0.11,0.0,37.0,38.0,1.03,211.0,6.0,0.24,12.2,35.0,33.0,0.0,verdura
"Zanahoria , jugo natural, zumo","Carrots, natural juice, no added sugar",40.5,0.6,0.1,9.3,,0.03,0.01,0.06,0.0,24.0,,0.5,292.0,29.0,0.18,9.0,1545.0,,0.0,verdura
"Zanahoria, sin cáscara, cruda, cubos","Carrots, peeled, raw, cubes",42.1,0.9,0.1,9.4,2.9,0.03,0.01,0.07,0.0,32.0,28.0,0.6,323.0,35.0,0.2,6.0,666.0,,0.0,verdura
"Zanahoria, sin cáscara, escurrida, cocida, sin sal, cubos","Carrots, peeled, drained cooked, without salt, cubes",37.54,0.76,0.18,8.22,3.0,0.04,0.01,0.11,0.0,30.0,30.0,0.34,235.0,58.0,0.2,4.0,860.0,14.0,0.0,verdura
"Zapallo, ayote, guico, calabaza, amarillo, maduro, crudo","Squash, winter, hubbard, raw",34.6,0.6,0.2,7.6,0.5,0.05,0.01,0.0,0.0,19.0,22.0,0.5,340.0,1.0,0.32,15.0,143.0,16.0,0.0,verdura
"Zapallo, cocido, sin sal","Squash, winter, hubbard, without salt, cooked",58.74,2.48,0.62,10.81,4.9,0.14,0.03,0.07,0.0,17.0,23.0,0.47,358.0,8.0,0.15,9.5,6705.0,16.0,0.0,verdura
"Zucchini, con cáscara, cocido, sin sal","Squash, zucchini, unpeeled, cooked, without salt",20.01,1.15,0.13,3.56,1.3,0.03,0.01,0.06,0.0,17.0,25.0,0.48,194.0,2.0,0.2,3.7,9.0,8.0,0.0,verdura
"Zucchini, verde, con cáscara, fresco, crudo","Squash, zucchini, verde, unpeeled, fresh,raw",20.16,1.21,0.32,3.11,1.0,0.08,0.01,0.09,0.0,16.0,38.0,0.37,261.0,8.0,0.32,17.9,10.0,24.0,0.0,verdura
