Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Cereal desayuno, granola, muesli con frutas secas y nueces, promedio","Cereal, breakfast, granola, muesli, dried fruit & nuts, average",393.4,8.0,4.6,80.0,5.0,0.85,2.12,1.14,0.0,36.0,273.0,2.0,279.0,376.0,1.1,0.0,0.0,13.0,0.0,"cereales, tuberculos y platanos"
"Cereal desayuno, granola, preparada en casa","Cereal, breakfast, granola, homemade",488.99,13.67,24.31,53.88,8.9,3.96,10.95,7.81,0.0,76.0,431.0,3.95,539.0,26.0,4.17,1.2,1.0,84.0,0.0,"cereales, tuberculos y platanos"
"Cereal desayuno, hojuelas azucaradas, zucaritas, Kellog’s","Cereal, breakfast, sugared flakes, zucaritas, Kellogg’s",379.08,3.3,0.52,90.3,3.2,0.17,0.09,0.3,0.0,5.0,34.0,14.5,73.0,479.0,0.18,20.0,517.0,543.0,5.0,"cereales, tuberculos y platanos"
"Cereal desayuno, hojuelas de maíz, original, Kellog’s","Cereal, breakfast, corn flakes, natural, Kellogg’s",370.0,7.5,0.4,84.1,3.3,0.12,0.07,0.2,0.0,5.0,102.0,28.9,168.0,729.0,1.0,21.0,490.0,34.0,357.0,"cereales, tuberculos y platanos"
"Cereal desayuno, hojuelas de trigo, All-bran","Cereal, breakfast, wheat flakes, All-bran",393.62,13.14,4.9,74.24,29.3,0.64,0.67,2.11,0.0,389.0,1150.0,17.6,1020.0,242.0,12.4,20.0,525.0,2198.0,18.8,"cereales, tuberculos y platanos"
"Cereal desayuno, Nesquik, sabor chocolate, Nestlé","Cereal, breakfast, Nesquik, chocolate flavour, Nestle",408.6,5.0,5.4,85.0,0.0,1.3,,,0.0,333.0,133.0,15.0,223.0,615.0,12.5,20.0,501.0,553.0,5.0,"cereales, tuberculos y platanos"
"Cereal desayuno, Special K, Kellog’s","Cereal, breakfast, Special K, Kellogg’s",381.0,17.8,1.8,73.4,1.4,0.4,0.3,0.4,0.0,23.0,48.0,28.0,53.0,667.0,0.7,68.0,500.1,1290.0,19.4,"cereales, tuberculos y platanos"
"Cereal para niños, de trigo y leche, Cerelac","Children’s cereal, with milk, wheat and milk, Cerelac",413.5,15.0,9.5,67.0,2.0,4.26,3.2,1.94,21.0,,,,,150.0,,,,,,"cereales, tuberculos y platanos"
"Chibil, masa de maíz, cocido al vapor, comercialmente preparado","Chibil, maize dough, steamed, commercially prepared",261.2,4.54,17.64,21.07,,,,,,52.0,119.0,27.99,88.0,461.0,0.92,,,,,"cereales, tuberculos y platanos"
"Cous-cous, crudo, Dececco","Cous-cous, raw, Dececco",349.5,13.0,1.5,71.0,3.4,0.2,,,,,,,,0.01,,,,,,"cereales, tuberculos y platanos"
"Emborrajados, guineo, harina de trigo, frito, comercialmente preparado","Emborrajados, banana, wheat flour, fried, commercially prepared",211.99,2.42,7.79,33.05,,,,,,21.0,172.0,5.22,804.0,76.0,1.66,,,,,"cereales, tuberculos y platanos"
"Empanada, de morocho, con carne, Tasty","Empanada, de morocho, with meat, Tasty",137.5,6.25,2.5,22.5,0.0,0.63,1.25,0.0,5.0,,,,,,,,,,,"cereales, tuberculos y platanos"
"Empanadas, de viento, harina de trigo, frito, comercialmente preparado","Wind empanada, wheat flour, fried, commercially prepared",356.75,8.72,12.15,53.13,,,,,,16.0,145.0,1.61,61.0,,0.61,,,,,"cereales, tuberculos y platanos"
"Galletas de dulce, con crema, sabor a fresa, Festival","Cookie, sweet, with cream, strawberry flavor, Festival",467.26,5.95,14.88,77.38,0.0,7.44,5.95,1.49,0.0,,,,,193.45,,,,,,"cereales, tuberculos y platanos"
"Galletas dulces, con chispas de chocolate, promedio","Cookies, sweet, with chocolate chips, average",455.0,5.8,15.4,73.3,3.6,3.81,6.09,4.65,0.0,19.0,84.0,3.07,123.0,377.0,0.7,0.0,0.0,115.0,0.0,"cereales, tuberculos y platanos"
"Galletas dulces, de chocolate, promedio","Cookies, sweet, of chocolate, average",443.8,6.6,14.2,72.4,3.4,4.24,4.86,4.15,2.0,31.0,132.0,4.01,210.0,580.0,1.09,0.0,3.0,96.0,0.09,"cereales, tuberculos y platanos"
"Galletas dulces, tipo María, promedio","Cookie, sweet, Maria Type, average",481.9,5.1,21.1,67.9,0.8,5.43,11.84,2.66,51.0,21.0,80.0,2.14,63.0,357.0,0.43,0.0,26.0,82.0,0.19,"cereales, tuberculos y platanos"
